base_series,next_series,module,repo,needed_by,needed_by_stuck,unblocks_alone,auto_install_deps,last_commit
18.0,19.0,stock_weighing,stock-weighing,9,9,8,1,2026-07-23
18.0,19.0,rma,rma,6,6,5,0,2026-07-22
18.0,19.0,l10n_eu_oss_oca,account-fiscal-rule,5,5,5,1,2026-06-03
18.0,19.0,product_assortment,product-attribute,5,5,5,0,2026-06-27
18.0,19.0,shopfloor,stock-logistics-shopfloor,8,8,4,2,2026-08-05
18.0,19.0,connector_search_engine,search-engine,7,7,4,0,2026-05-29
18.0,19.0,contract_line_successor,contract,5,5,4,0,2026-05-06
18.0,19.0,l10n_it_account,l10n-italy,5,5,4,0,2026-07-03
18.0,19.0,dms,dms,4,4,4,0,2026-08-17
18.0,19.0,hr_timesheet_sheet,timesheet,4,4,4,0,2026-06-27
18.0,19.0,l10n_es_atc,l10n-spain,4,4,4,0,2026-06-23
18.0,19.0,vcp_management,version-control-platform,4,4,4,0,2026-05-26
18.0,19.0,stock_release_channel,stock-logistics-release-channel,8,8,3,3,2026-05-28
18.0,19.0,product_contract,contract,6,6,3,0,2026-06-27
18.0,19.0,shopfloor_base,shopfloor-app,5,5,3,0,2026-08-11
18.0,19.0,stock_operating_unit,operating-unit,4,4,3,0,2025-02-11
18.0,19.0,project_timesheet_time_control,project,5,3,3,1,2026-06-11
18.0,19.0,ai_oca_bridge,ai,3,3,3,0,2026-05-29
18.0,19.0,base_location_nuts,partner-contact,3,3,3,0,2026-06-30
18.0,19.0,crowdfunding,crowdfunding,3,3,3,0,2026-05-12
18.0,19.0,delivery_carrier_shipping_label,delivery-carrier,3,3,3,0,2025-02-12
18.0,19.0,edi_voxel_oca,edi-voxel,3,3,3,1,2026-06-16
18.0,19.0,purchase_order_product_recommendation,purchase-workflow,3,3,3,0,2026-06-18
18.0,19.0,sql_export,reporting-engine,3,3,3,0,2026-04-15
18.0,19.0,stock_move_packaging_qty,stock-logistics-warehouse,3,3,3,0,2026-06-25
18.0,19.0,product_packaging_level,product-attribute,7,7,2,1,2025-12-05
18.0,19.0,jsonifier,server-tools,6,6,2,0,2026-02-20
18.0,19.0,account_brand,brand,5,5,2,0,2026-06-26
18.0,19.0,rma_sale,rma,5,5,2,1,2026-07-22
18.0,19.0,product_packaging_calculator,product-attribute,4,4,2,0,2026-06-27
18.0,19.0,stock_available_to_promise_release,stock-logistics-reservation,4,4,2,5,2026-06-30
18.0,19.0,stock_storage_type,stock-logistics-putaway,4,4,2,1,2026-06-15
18.0,19.0,account_payment_partner,bank-payment,6,3,2,3,2026-07-09
18.0,19.0,product_pricelist_direct_print,product-attribute,3,3,2,0,2026-06-30
18.0,19.0,stock_vertical_lift,stock-logistics-warehouse,3,3,2,3,2026-08-12
18.0,19.0,stock_warehouse_out_pull,stock-logistics-warehouse,3,3,2,0,2026-06-25
18.0,19.0,agreement_legal,agreement,3,2,2,0,2026-07-29
18.0,19.0,account_banking_ach_base,l10n-usa,2,2,2,0,2026-06-29
