repo,module,category,vendors,license,is_oca,16.0_present,17.0_present,18.0_present,19.0_present,master_present,16.0_state,17.0_state,18.0_state,19.0_state,master_state,16.0_status,17.0_status,18.0_status,19.0_status,master_status,16.0_cause,17.0_cause,18.0_cause,19.0_cause,master_cause,16.0_installable,17.0_installable,18.0_installable,19.0_installable,master_installable,16.0_version,17.0_version,18.0_version,19.0_version,master_version,16.0_image,17.0_image,18.0_image,19.0_image,master_image,16.0_run_date,17.0_run_date,18.0_run_date,19.0_run_date,master_run_date
account-analytic,account_analytic_account_tag,,ACSONE SA/NV,AGPL-3,1,1,1,0,0,0,verified,verified,,,,ok,ok,,,,,,,,,1,1,,,,16.0.1.0.0,17.0.1.0.0,,,,modidx/odoo:16.0-deps-20260821,modidx/odoo:17.0-deps-20260820,,,,2026-08-21,2026-08-20,,,
account-analytic,account_analytic_distribution_manual,,Tecnativa,AGPL-3,1,1,1,1,0,0,verified,verified,verified,,,ok,ok,ok,,,,,,,,1,1,1,,,16.0.2.5.0,17.0.1.0.1,18.0.1.0.2,,,modidx/odoo:16.0-deps-20260821,modidx/odoo:17.0-deps-20260820,odoo:18.0,,,2026-08-21,2026-08-20,2026-08-19,,
account-analytic,account_analytic_distribution_manual_date,,(Nagarro - APSL) Bernat Obrador,AGPL-3,1,0,1,0,0,0,,verified,,,,,ok,,,,,,,,,,1,,,,,17.0.1.0.0,,,,,modidx/odoo:17.0-deps-20260820,,,,,2026-08-20,,,
account-analytic,account_analytic_distribution_model_recalculate,,APSL-Nagarro;Bernat Obrador,AGPL-3,1,0,1,0,1,0,,verified,,verified,,,ok,,ok,,,,,,,,1,,1,,,17.0.1.1.0,,19.0.1.0.0,,,modidx/odoo:17.0-deps-20260820,,odoo:19.0,,,2026-08-21,,2026-08-19,
account-analytic,account_analytic_distribution_widget_rebalance,Analytic,Camptocamp,AGPL-3,1,0,1,0,0,0,,verified,,,,,ok,,,,,,,,,,1,,,,,17.0.1.0.0,,,,,modidx/odoo:17.0-deps-20260820,,,,,2026-08-21,,,
account-analytic,account_analytic_document_date,,APSL-Nagarro,AGPL-3,1,1,1,0,0,0,verified,verified,,,,ok,ok,,,,,,,,,1,1,,,,16.0.1.0.2,17.0.1.0.1,,,,modidx/odoo:16.0-deps-20260821,modidx/odoo:17.0-deps-20260820,,,,2026-08-22,2026-08-20,,,
account-analytic,account_analytic_line_commercial_partner,Accounting & Finance,Moduon,AGPL-3,1,0,0,1,0,0,,,verified,,,,,ok,,,,,,,,,,1,,,,,18.0.1.0.1,,,,,odoo:18.0,,,,,2026-08-19,,
account-analytic,account_analytic_line_name_text,Analytic Accounting,Solvos,AGPL-3,1,0,1,0,0,0,,verified,,,,,ok,,,,,,,,,,1,,,,,17.0.1.0.0,,,,,modidx/odoo:17.0-deps-20260820,,,,,2026-08-20,,,
account-analytic,account_analytic_organization,Analytic Accounting,Miquel Pascual;Bernat Obrador,AGPL-3,1,1,1,1,0,0,verified,verified,verified,,,ok,ok,ok,,,,,,,,1,1,1,,,16.0.1.0.1,17.0.1.0.0,18.0.1.0.0,,,modidx/odoo:16.0-deps-20260821,modidx/odoo:17.0-deps-20260820,odoo:18.0,,,2026-08-22,2026-08-20,2026-08-19,,
account-analytic,account_analytic_parent,Accounting & Finance,Matmoz d.o.o.;Luxim d.o.o.;Deneroteam;ForgeFlow;Tecnativa;CorporateHub,AGPL-3,1,1,1,1,0,0,verified,verified,verified,,,ok,ok,ok,,,,,,,,1,1,1,,,16.0.1.0.1,17.0.1.0.0,18.0.1.1.0,,,modidx/odoo:16.0-deps-20260821,modidx/odoo:17.0-deps-20260820,odoo:18.0,,,2026-08-21,2026-08-21,2026-08-19,,
account-analytic,account_analytic_required,Analytic Accounting,Akretion,AGPL-3,1,1,1,1,1,0,verified,verified,verified,verified,,ok,ok,ok,ok,,,,,,,1,1,1,1,,16.0.2.0.1,17.0.1.0.0,18.0.1.0.0,19.0.1.0.0,,modidx/odoo:16.0-deps-20260821,modidx/odoo:17.0-deps-20260820,odoo:18.0,odoo:19.0,,2026-08-21,2026-08-20,2026-08-19,2026-08-19,
account-analytic,account_analytic_root,Account,Coop IT Easy SC,AGPL-3,1,1,0,0,0,0,verified,,,,,ok,,,,,,,,,,1,,,,,16.0.1.0.0,,,,,modidx/odoo:16.0-deps-20260821,,,,,2026-08-21,,,,
account-analytic,account_analytic_sequence,,ACSONE SA/NV,AGPL-3,1,1,1,1,1,0,verified,verified,verified,verified,,ok,ok,ok,ok,,,,,,,1,1,1,1,,16.0.1.0.0,17.0.1.0.0,18.0.1.0.0,19.0.1.0.0,,modidx/odoo:16.0-deps-20260821,modidx/odoo:17.0-deps-20260820,odoo:18.0,odoo:19.0,,2026-08-21,2026-08-20,2026-08-19,2026-08-19,
account-analytic,account_analytic_spread_by_tag,Account,Miquel Alzanillas (APSL-Nagarro),AGPL-3,1,0,1,1,0,0,,verified,verified,,,,ok,ok,,,,,,,,,1,1,,,,17.0.1.0.1,18.0.1.0.0,,,,modidx/odoo:17.0-deps-20260820,odoo:18.0,,,,2026-08-21,2026-08-19,,
account-analytic,account_analytic_tag,Account,Tecnativa,AGPL-3,1,1,1,1,1,0,verified,verified,verified,verified,,ok,ok,ok,ok,,,,,,,1,1,1,1,,16.0.1.1.2,17.0.1.1.1,18.0.1.1.1,19.0.1.0.1,,modidx/odoo:16.0-deps-20260821,modidx/odoo:17.0-deps-20260820,odoo:18.0,odoo:19.0,,2026-08-21,2026-08-20,2026-08-19,2026-08-19,
account-analytic,account_analytic_tag_distribution,Account,Tecnativa,AGPL-3,1,1,0,0,0,0,verified,,,,,ok,,,,,,,,,,1,,,,,16.0.1.0.2,,,,,modidx/odoo:16.0-deps-20260821,,,,,2026-08-21,,,,
account-analytic,account_move_analytic_link,Accounting & Finance,ForgeFlow,AGPL-3,1,0,0,1,0,0,,,verified,,,,,ok,,,,,,,,,,1,,,,,18.0.1.0.1,,,,,odoo:18.0,,,,,2026-08-19,,
