taken_at,series,repos,modules,installs_ok,method
2026-08-19 11:39:57.3117+00,16.0,214,3099,,v2
2026-08-19 11:39:57.313749+00,17.0,217,1930,,v2
2026-08-19 11:39:57.314507+00,18.0,228,2877,,v2
2026-08-19 11:39:57.315147+00,19.0,230,1192,,v2
2026-08-19 11:39:57.315592+00,20.0,0,0,,v2
2026-08-20 03:20:50.364796+00,16.0,214,3099,,v2
2026-08-21 12:11:22.123988+00,16.0,214,3102,,v2
2026-08-21 12:11:22.127481+00,17.0,217,1931,,v2
2026-08-21 12:11:22.128455+00,18.0,229,2879,,v2
2026-08-21 12:11:22.12933+00,19.0,230,1209,,v2
2026-08-21 12:11:22.129929+00,20.0,0,0,,v2
2026-08-22 03:27:17.350791+00,16.0,214,3102,,v2
2026-08-22 03:27:17.352886+00,17.0,217,1931,,v2
2026-08-22 03:27:17.35367+00,18.0,229,2879,,v2
2026-08-22 03:27:17.354431+00,19.0,230,1212,,v2
2026-08-22 03:27:17.354971+00,20.0,0,0,,v2
